"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000183722",3013.23853843146,-0.692382739510582,0.0874807661635934,-7.91468536313219,2.47879156414132e-15,3.83902843496387e-13
"ENSG00000183723",519.333166608823,-0.815975944122784,0.194425184959001,-4.1968634068413,2.70637045536758e-05,0.000508059544575823
"ENSG00000183726",2457.92298891909,-0.691086628639487,0.125083424483636,-5.5250056631596,3.29474983576704e-08,1.35771453875234e-06
"ENSG00000183775",75.7120149992736,0.940543792149157,0.336230931437397,2.79731489345226,0.00515292846508724,0.0383990278763618
"ENSG00000183801",1368.9219054175,1.00724650891346,0.249373761887175,4.03910379861522,5.36558184131744e-05,0.000906539441098951
"ENSG00000183876",193.711245126177,1.63939366133486,0.424940563836709,3.85793638181558,0.000114348400272296,0.00173059040640116
"ENSG00000183941",158.128687631005,0.52881647525881,0.149635014012414,3.53404234128609,0.000409255511489248,0.00511844796839009
"ENSG00000183963",1376.0429343121,0.915202277376895,0.17399102843843,5.26005441539622,1.44012777374083e-07,5.01213008894631e-06
"ENSG00000184007",3912.23933810899,-0.262539905093295,0.0717056178169891,-3.66135754890731,0.000250882342793774,0.00339348496420836
"ENSG00000184009",52170.6600084671,-0.615319804580382,0.147376620178314,-4.17515209560304,2.97787029161736e-05,0.000550683774822972
"ENSG00000184156",16.2914180483717,-2.51460912335023,0.566559150622856,-4.4383876256976,9.06352836345934e-06,0.000197243178729382
"ENSG00000184185",43.56754558639,-0.915807297499964,0.299460727103625,-3.05818831857394,0.00222679589850442,0.0201779628345708
"ENSG00000184205",736.460243121389,0.528300637137131,0.170042915619547,3.10686649433339,0.00189081769624921,0.0176144595913742
"ENSG00000184227",215.175689353221,-0.860228489671873,0.186572254546213,-4.61069890463697,4.01317447408059e-06,9.57443486531293e-05
"ENSG00000184304",777.541361597905,-0.714142145897003,0.119253194776634,-5.98845294865787,2.11846403887166e-09,1.16140572750531e-07
"ENSG00000184307",101.191817912381,-1.71022317411919,0.357544380654557,-4.78324724608531,1.7248574451195e-06,4.52775079343868e-05
"ENSG00000184319",783.78938444906,0.472992341299592,0.173905534746678,2.7198233914095,0.00653167913046835,0.046244288243716
"ENSG00000184371",3057.36284995106,-0.394755766736024,0.132300131578495,-2.98378967598994,0.00284702399565678,0.0244509893527177
"ENSG00000184465",428.414345208041,0.463742416225857,0.142490937890157,3.25453971384023,0.00113576279047441,0.011792263386015
"ENSG00000184517",180.242343451612,0.507301255715429,0.134503409481903,3.77166093907593,0.000162164512300846,0.00233268379342974
"ENSG00000184564",43.2170676125144,2.97365140485487,0.683367275923544,4.35146883619222,1.35228544522883e-05,0.000280380084956792
"ENSG00000184575",3452.18041024706,0.586222800896368,0.100495619153186,5.83331697278053,5.43362046618693e-09,2.67153006254191e-07
"ENSG00000184743",3489.01614745955,-0.770100477776448,0.204728443227654,-3.76157052549904,0.000168849796054275,0.00241142088830354
"ENSG00000184785",275.759746780512,-0.584387521353209,0.193384536465233,-3.02189374618519,0.00251198705979763,0.0222205042866916
"ENSG00000184788",75.211465513309,-0.948686977907901,0.270531311317128,-3.50675481255406,0.000453606902419443,0.00557927483882551
"ENSG00000184867",1439.95749418244,0.392868282056616,0.128873785773391,3.04847319956463,0.00230007427954851,0.0207106979095974
"ENSG00000184898",750.628689164904,0.696630204582813,0.172955290716228,4.02780511482468,5.62999797885883e-05,0.000946053457839885
"ENSG00000184916",28.9463991388599,1.15649894439459,0.412016454032408,2.80692417275069,0.00500170138112059,0.037634259177379
"ENSG00000184949",50.8006804839343,0.776985745772292,0.252159124115142,3.08133107813898,0.00206077369104858,0.0189789291616144
"ENSG00000185022",648.341698714604,-1.29751152530443,0.187152942279416,-6.93289407850865,4.12316934891657e-12,4.11984421234487e-10
"ENSG00000185112",706.041444761291,-1.23143830772379,0.30442914574927,-4.04507362359454,5.23066832879952e-05,0.000887780556079808
"ENSG00000185122",1086.7839808777,-0.413858846377799,0.113554483336592,-3.64458394083008,0.00026782471480985,0.00358869670132737
"ENSG00000185189",1346.53507785704,-0.486590932788325,0.146043079849188,-3.33183149308275,0.00086276479285962,0.00941543374943983
"ENSG00000185215",855.036816780205,0.862026609300785,0.213319005073119,4.04102114110887,5.32189599405095e-05,0.00090079633014059
"ENSG00000185219",614.817183551142,0.470178476355333,0.0996949411844274,4.71617186157462,2.40323457410289e-06,6.11837185749345e-05
"ENSG00000185222",2787.10679694467,-0.666427603616566,0.135666349136946,-4.91225427569995,9.00351836437774e-07,2.53147335555159e-05
"ENSG00000185252",140.282086884694,0.803458617342595,0.210996939526654,3.80791597804716,0.000140142870199326,0.00206874919988441
"ENSG00000185262",384.2659415607,-0.906843566844529,0.214789336171488,-4.22201391842146,2.42129154278918e-05,0.000463436697453521
"ENSG00000185267",48.7414413763569,0.776058412399194,0.289011739893902,2.68521414626302,0.00724833480029572,0.0499547351104746
"ENSG00000185338",222.262668967066,1.1720874214363,0.304699825712588,3.84669541144369,0.000119721651042172,0.00179727535106524
"ENSG00000185344",447.988309181844,-0.463181018051701,0.111216599831907,-4.16467522610611,3.11796084386818e-05,0.000571472409105426
"ENSG00000185418",197.565832596306,0.816119881675854,0.242085296386292,3.37120797445535,0.000748393361936633,0.00841433190053982
"ENSG00000185432",3885.6492404017,-2.32574937133417,0.259324273309715,-8.96849855839173,3.00583679933046e-19,7.54911850210223e-17
"ENSG00000185499",393.264226746219,-0.798629477728345,0.240493764053182,-3.32079079419182,0.000897627945555184,0.00971602525809149
"ENSG00000185532",1385.29943945364,0.511927920336465,0.138216671584201,3.70380732272663,0.000212387599639585,0.00294129920961377
"ENSG00000185551",3176.42995951529,-0.803039690080929,0.199238190352449,-4.03055101364033,5.56462497288852e-05,0.000935914525983106
"ENSG00000185561",169.294258004465,-0.971514924251341,0.282350104398231,-3.4408165930093,0.000579961508162144,0.0068046620133797
"ENSG00000185650",3949.6421077083,0.66394906728534,0.181487964981398,3.65836416400059,0.000253830212076774,0.00342836808971428
"ENSG00000185716",425.482274087428,-0.868449921583471,0.152057778216528,-5.71131534190124,1.12106295511779e-08,5.16996402502834e-07
"ENSG00000185745",237.715593495462,1.6308574186192,0.353081290093549,4.61892902392846,3.85725759577945e-06,9.27388517691606e-05
"ENSG00000185813",468.253727549524,-1.12216948643949,0.154752951183809,-7.25136081641912,4.12604885801417e-13,5.01193581870545e-11
"ENSG00000185875",68.1381368116132,0.814594994861101,0.243314091924049,3.34791539782817,0.000814218631314036,0.00899444980995307
"ENSG00000185880",580.637249737032,0.431586153904963,0.156155129715353,2.7638294988559,0.00571273814985044,0.0414893468210123
"ENSG00000185950",1974.88307917017,-2.16283209120193,0.211701291465418,-10.2164331461116,1.67387077342238e-24,7.77722208101374e-22
"ENSG00000185972",13.4505961000108,1.39227192983729,0.468854458136825,2.96951837755799,0.00298266971076259,0.0252311864244528
"ENSG00000186063",3657.25564046682,-0.372596051235002,0.101749769605833,-3.66188594508268,0.000250365326962146,0.00338895819489547
"ENSG00000186073",326.376390737352,0.661010210097803,0.156158268253116,4.23295043863047,2.30645346988775e-05,0.000445123964048429
"ENSG00000186198",52.6273494217319,1.58685106739115,0.438657459757719,3.61751756887392,0.00029744214629095,0.00391799211234798
"ENSG00000186260",572.003405757739,0.436800028830881,0.125965056432413,3.4676285725736,0.000525072490075261,0.00626346099361279
"ENSG00000186310",79.2763980615152,0.977743337389999,0.270759220739101,3.61111741539593,0.000304880585322542,0.003989016458525
"ENSG00000186314",38.5694776321026,-1.17695265971917,0.367120733442677,-3.20590081819213,0.00134640387262791,0.0134894425729325
"ENSG00000186340",14436.1253674321,0.555906185532385,0.195040610055698,2.85020737667727,0.0043690732489983,0.0338753551658879
"ENSG00000186469",277.748160558649,1.05644279341411,0.333508422329705,3.16766451064231,0.00153668739884506,0.014983911493985
"ENSG00000186575",2624.00223308639,-1.04187034925055,0.247815350320663,-4.20422039192656,2.61983573383007e-05,0.000493309494561619
"ENSG00000186594",1373.78509497533,-0.836173266636418,0.14046552264278,-5.95287192831584,2.63477479211846e-09,1.39507947326272e-07
"ENSG00000186665",257.766666329821,0.708172065729288,0.19982324763282,3.54399237385317,0.000394116645221635,0.00495914546475565
"ENSG00000186918",1755.79061917856,-0.779079465112437,0.172505400073496,-4.51626131576467,6.29409869362706e-06,0.000141444523282596
"ENSG00000186998",5.03988401752781,2.21103502498851,0.778410652536286,2.84044805628536,0.00450502090714782,0.0347193890127334
"ENSG00000187079",8423.28818844086,-0.732294305864442,0.157174936365053,-4.65910356192938,3.17589402892769e-06,7.83851135824981e-05
"ENSG00000187109",12098.0627557556,-0.461438138671891,0.1068991732969,-4.31657350043578,1.58469929429423e-05,0.000321524414677492
"ENSG00000187134",13932.1797816741,-0.974019917131402,0.279580144250737,-3.48386656621032,0.000494225818344192,0.00597216309097971
"ENSG00000187189",489.612295399912,0.450242432872,0.113207537014788,3.97714184712971,6.97485622312775e-05,0.00114008533779093
